#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
19400,-295633.4891416142,62774.86711646931,-232858.62202514487,312.108974943349,0.9957489333630352
19500,-295797.3370941258,62545.66165411193,-233251.67544001387,310.9693933688464,0.9957489333630352
19600,-295046.41327802045,62121.778525396425,-232924.63475262403,308.86189820595393,0.9957489333630352
19700,-295740.286541393,62290.416712305596,-233449.86982908743,309.70034668175674,0.9957489333630352
19800,-296015.06086768303,62617.083766791504,-233397.97710089153,311.32449539296306,0.9957489333630352
19900,-295610.53105852334,62219.311801102944,-233391.2192574204,309.34682174465536,0.9957489333630352
20000,-296176.73842723854,62712.458927950385,-233464.27949928815,311.7986890496238,0.9957489333630352
20100,-295776.289027025,61955.74683309812,-233820.54219392687,308.03640890312215,0.9957489333630352
20200,-295212.30425020773,61872.1738485152,-233340.13040169253,307.62089422743617,0.9957489333630352
20300,-296220.9437040102,62533.69378676533,-233687.2499172449,310.90989059358964,0.9957489333630352
20400,-295969.8952051643,62831.19715456921,-233138.69805059512,312.3890410152892,0.9957489333630352
20500,-295785.56860723393,62390.629418245255,-233394.93918898868,310.1985920204382,0.9957489333630352
20600,-295668.3060383992,62201.20046190079,-233467.10557649843,309.25677437740654,0.9957489333630352
20700,-296120.34603668656,62794.780898625555,-233325.565138061,312.2079838369003,0.9957489333630352
20800,-296272.69235262554,62866.812909086235,-233405.8794435393,312.56611819832045,0.9957489333630352
20900,-295775.3087938307,62787.312347900355,-232987.99644593033,312.1708511145509,0.9957489333630352
21000,-296298.1117012657,62738.23512680514,-233559.87657446053,311.92684516324124,0.9957489333630352
21100,-296519.0990295699,62854.03505317937,-233665.06397639052,312.5025882588358,0.9957489333630352
21200,-296048.50873044226,62521.89715944999,-233526.61157099227,310.85123920286105,0.9957489333630352
21300,-296245.0573144024,62957.596972089086,-233287.46034231334,313.01748547548954,0.9957489333630352
21400,-295405.73269834765,62092.835073379334,-233312.89762496832,308.71799489631223,0.9957489333630352
21500,-295974.58899439406,62807.67596063239,-233166.91303376167,312.272096510804,0.9957489333630352
21600,-295795.37518917024,62358.34640271054,-233437.0287864597,310.0380848087235,0.9957489333630352
21700,-296345.95196709316,62901.207806082675,-233444.7441610105,312.7371254268172,0.9957489333630352
21800,-296258.8089979794,62648.679399875225,-233610.12959810416,311.48158502305574,0.9957489333630352
21900,-296471.70551552996,62677.0349806922,-233794.67053483776,311.6225655088653,0.9957489333630352
22000,-295995.88056966383,62576.61558536085,-233419.26498430298,311.12329253576365,0.9957489333630352
22100,-295863.2087641051,62304.91528380336,-233558.29348030174,309.7724318090723,0.9957489333630352
22200,-295908.9166544834,62593.94547313254,-233314.97118135088,311.20945462190986,0.9957489333630352
22300,-296329.8171329973,62633.44614248676,-233696.37099051056,311.40584712719146,0.9957489333630352
22400,-296012.00782730663,62565.34345150058,-233446.66437580605,311.06724886245684,0.9957489333630352
22500,-296028.55685840175,62541.36967470602,-233487.18718369573,310.94805417125997,0.9957489333630352
22600,-295648.2242165273,62152.65479449532,-233495.569422032,309.0154112461433,0.9957489333630352
22700,-295320.6869967403,61962.68075641856,-233358.00624032173,308.07088352328924,0.9957489333630352
22800,-295495.01976494,61947.52647009166,-233547.49329484836,307.9955382619012,0.9957489333630352
22900,-295425.60959571786,62144.99683289905,-233280.6127628188,308.97733679606864,0.9957489333630352
23000,-295500.1693247203,62390.872946889605,-233109.29637783067,310.19980281512477,0.9957489333630352
23100,-295567.30360307684,62380.22359305725,-233187.0800100196,310.1468555280798,0.9957489333630352
23200,-295388.61693064775,62509.9976532408,-232878.61927740695,310.7920763108331,0.9957489333630352
23300,-295414.52084526373,62637.348528574454,-232777.17231668928,311.42524931436617,0.9957489333630352
23400,-295835.3693298218,62913.53990703984,-232921.82942278194,312.79843912711544,0.9957489333630352
23500,-295189.9975144095,62330.6332518853,-232859.36426252418,309.9002984063968,0.9957489333630352
23600,-295180.65795531496,62079.83568119537,-233100.8222741196,308.65336350550587,0.9957489333630352
23700,-295212.94284300134,61874.614691574476,-233338.32815142686,307.63302980111746,0.9957489333630352
23800,-295431.9358369913,62213.58641994477,-233218.34941704653,309.3183558485648,0.9957489333630352
23900,-295276.4138197461,62500.50060017308,-232775.91321957303,310.74485812250225,0.9957489333630352
24000,-295675.7370966091,62706.42809648742,-232969.30900012166,311.7687044919111,0.9957489333630352
24100,-295115.07951702736,62158.58096970385,-232956.4985473235,309.04487546573677,0.9957489333630352
24200,-295441.74063456897,62491.95229258307,-232949.7883419859,310.7023569808516,0.9957489333630352
