#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
19100,-113854.27858331183,23110.485500390874,-90743.79308292095,308.4617937413842,1.018537270733841
19200,-114184.88202524872,23328.80899734143,-90856.07302790729,311.37581549502164,1.018537270733841
19300,-114255.94467247103,23345.228495249525,-90910.7161772215,311.59497089861446,1.018537270733841
19400,-114617.70956273907,23553.37563986401,-91064.33392287506,314.3731661723072,1.018537270733841
19500,-114092.75776410464,23133.947740506846,-90958.81002359779,308.7749504974914,1.018537270733841
19600,-114037.64694158186,23175.736696039094,-90861.91024554276,309.33271879629405,1.018537270733841
19700,-114501.40806222183,23509.41031804681,-90991.99774417502,313.7863493341269,1.018537270733841
19800,-114610.58224351623,23736.384387799073,-90874.19785571715,316.81583258264544,1.018537270733841
19900,-114497.85630239721,23608.691321352962,-90889.16498104425,315.1114792784434,1.018537270733841
20000,-114017.11141369527,22985.309393649222,-91031.80202004605,306.79103496747445,1.018537270733841
20100,-114262.63652215607,23402.25963024865,-90860.37689190742,312.35618061879273,1.018537270733841
20200,-114271.16009312973,23141.56431538216,-91129.59577774757,308.8766109471676,1.018537270733841
20300,-114388.0810907901,23201.703595664003,-91186.3774951261,309.6793059087139,1.018537270733841
20400,-114275.59205090872,23001.511110077023,-91274.08094083169,307.00728358375403,1.018537270733841
20500,-114214.00253059331,23088.288458403083,-91125.71407219023,308.16552392103836,1.018537270733841
20600,-114549.47771490586,23389.736226801295,-91159.74148810457,312.189027423718,1.018537270733841
20700,-114695.63086653908,23492.01978193065,-91203.61108460843,313.554233225427,1.018537270733841
20800,-114444.93157260714,23213.417959702783,-91231.51361290435,309.83566063972467,1.018537270733841
20900,-114215.93949030468,23083.947534092935,-91131.99195621174,308.10758445026516,1.018537270733841
21000,-114271.93697408086,23066.17069810757,-91205.76627597329,307.87031229451577,1.018537270733841
21100,-114532.2112571703,23304.698197040416,-91227.51306012989,311.05400223370935,1.018537270733841
21200,-114169.38743751531,23048.708186456934,-91120.67925105838,307.6372355092231,1.018537270733841
21300,-114186.12195472128,23002.44763305504,-91183.67432166624,307.01978360490995,1.018537270733841
21400,-114027.10520498536,22962.506685571745,-91064.59851941362,306.4866811608172,1.018537270733841
21500,-113991.38023776875,23182.786571270786,-90808.59366649797,309.4268153551735,1.018537270733841
21600,-114288.00627476454,23275.935670441017,-91012.07060432353,310.6701011448622,1.018537270733841
21700,-114576.62327436882,23538.076232536114,-91038.5470418327,314.16896091545686,1.018537270733841
21800,-114108.01329352881,23166.433019010816,-90941.580274518,309.20854014567743,1.018537270733841
21900,-114608.57487317629,23660.241415201686,-90948.3334579746,315.79953208528923,1.018537270733841
22000,-114163.72792093817,23261.738548863214,-90901.98937207495,310.4806083889537,1.018537270733841
22100,-114561.29514042696,23696.940990760573,-90864.35414966638,316.2893710766099,1.018537270733841
22200,-114550.5260629385,23577.26020318363,-90973.26585975487,314.6919597884852,1.018537270733841
22300,-114499.95394440542,23270.538724183047,-91229.41522022238,310.59806666841513,1.018537270733841
22400,-114316.94092860102,22985.329279218102,-91331.61164938292,306.7913003854487,1.018537270733841
22500,-114916.50344876235,23402.23914158903,-91514.26430717332,312.355907151206,1.018537270733841
